ResetId	SymbolId	OpType	Duration	Input	Output
0	-1	Reset	1155000	Reset	Reset
0	0	TimedIO	100865800	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
1	-1	Reset	1809300	Reset	Reset
1	0	TimedIO	108987400	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
2	-1	Reset	969600	Reset	Reset
2	0	TimedIO	925000	EmptyCertificate	Alert2.10ConnectionClosed
3	-1	Reset	753000	Reset	Reset
3	0	TimedIO	1793600	ClientKeyExchange	Alert2.10ConnectionClosed
4	-1	Reset	1007400	Reset	Reset
4	0	TimedIO	6532100	ChangeCipherSpec	Alert2.10ConnectionClosed
5	-1	Reset	1010800	Reset	Reset
5	0	TimedIO	708500	Finished	Alert2.10ConnectionClosed
6	-1	Reset	683100	Reset	Reset
6	0	TimedIO	387400	ApplicationData	Alert2.10ConnectionClosed
7	-1	Reset	884000	Reset	Reset
7	0	TimedIO	354200	ApplicationDataEmpty	Alert2.10ConnectionClosed
8	-1	Reset	972100	Reset	Reset
8	0	TimedIO	401400	Alert10	Alert2.10ConnectionClosed
9	-1	Reset	1271000	Reset	Reset
9	0	TimedIO	100831900	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
9	1	TimedIO	840800	ClientHelloRSA	Alert2.10ConnectionClosed
10	-1	Reset	1577700	Reset	Reset
10	0	TimedIO	101245100	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
10	1	TimedIO	453200	ClientHelloDHE	Alert2.10ConnectionClosed
11	-1	Reset	898800	Reset	Reset
11	0	TimedIO	100831300	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
11	1	TimedIO	582400	EmptyCertificate	Alert2.10ConnectionClosed
12	-1	Reset	1123100	Reset	Reset
12	0	TimedIO	101121900	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
12	1	TimedIO	101274400	ClientKeyExchange	Empty
13	-1	Reset	2177100	Reset	Reset
13	0	TimedIO	100831600	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
13	1	TimedIO	1969900	ChangeCipherSpec	Alert2.10ConnectionClosed
14	-1	Reset	1632900	Reset	Reset
14	0	TimedIO	100902300	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
14	1	TimedIO	853200	Finished	Alert2.10ConnectionClosed
15	-1	Reset	842600	Reset	Reset
15	0	TimedIO	100950600	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
15	1	TimedIO	689200	ApplicationData	Alert2.10ConnectionClosed
16	-1	Reset	1534900	Reset	Reset
16	0	TimedIO	100690300	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
16	1	TimedIO	554700	ApplicationDataEmpty	Alert2.10ConnectionClosed
17	-1	Reset	642900	Reset	Reset
17	0	TimedIO	100764100	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
17	1	TimedIO	627300	Alert10	ConnectionClosed
18	-1	Reset	1270800	Reset	Reset
18	0	TimedIO	104210800	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
18	1	TimedIO	826500	ClientHelloRSA	Alert2.10ConnectionClosed
19	-1	Reset	1185000	Reset	Reset
19	0	TimedIO	119506000	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
19	1	TimedIO	1020000	ClientHelloDHE	Alert2.10ConnectionClosed
20	-1	Reset	783700	Reset	Reset
20	0	TimedIO	104421000	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
20	1	TimedIO	582400	EmptyCertificate	Alert2.10ConnectionClosed
21	-1	Reset	1019500	Reset	Reset
21	0	TimedIO	105885700	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
21	1	TimedIO	100360600	ClientKeyExchange	Empty
22	-1	Reset	1561900	Reset	Reset
22	0	TimedIO	103072600	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
22	1	TimedIO	610700	ChangeCipherSpec	Alert2.10ConnectionClosed
23	-1	Reset	542300	Reset	Reset
23	0	TimedIO	103426500	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
23	1	TimedIO	1682300	Finished	Alert2.10ConnectionClosed
24	-1	Reset	511800	Reset	Reset
24	0	TimedIO	102969200	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
24	1	TimedIO	455300	ApplicationData	Alert2.10ConnectionClosed
25	-1	Reset	746000	Reset	Reset
25	0	TimedIO	104062500	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
25	1	TimedIO	824300	ApplicationDataEmpty	Alert2.10ConnectionClosed
26	-1	Reset	563000	Reset	Reset
26	0	TimedIO	102453200	ClientHelloDHE	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerKeyExchangeHandshakeServerHelloDone
26	1	TimedIO	408800	Alert10	ConnectionClosed
27	-1	Reset	579600	Reset	Reset
27	0	TimedIO	336100	EmptyCertificate	Alert2.10ConnectionClosed
27	1	TimedIO	2300	ClientHelloRSA	ConnectionClosed
28	-1	Reset	813400	Reset	Reset
28	0	TimedIO	535800	EmptyCertificate	Alert2.10ConnectionClosed
28	1	TimedIO	1400	ClientHelloDHE	ConnectionClosed
29	-1	Reset	387100	Reset	Reset
29	0	TimedIO	207500	EmptyCertificate	Alert2.10ConnectionClosed
29	1	TimedIO	1200	EmptyCertificate	ConnectionClosed
30	-1	Reset	414600	Reset	Reset
30	0	TimedIO	187200	EmptyCertificate	Alert2.10ConnectionClosed
30	1	TimedIO	1400	ClientKeyExchange	ConnectionClosed
31	-1	Reset	394900	Reset	Reset
31	0	TimedIO	231900	EmptyCertificate	Alert2.10ConnectionClosed
31	1	TimedIO	1000	ChangeCipherSpec	ConnectionClosed
32	-1	Reset	418500	Reset	Reset
32	0	TimedIO	327400	EmptyCertificate	Alert2.10ConnectionClosed
32	1	TimedIO	1300	Finished	ConnectionClosed
33	-1	Reset	432200	Reset	Reset
33	0	TimedIO	415100	EmptyCertificate	Alert2.10ConnectionClosed
33	1	TimedIO	1700	ApplicationData	ConnectionClosed
34	-1	Reset	780500	Reset	Reset
34	0	TimedIO	259500	EmptyCertificate	Alert2.10ConnectionClosed
34	1	TimedIO	1800	ApplicationDataEmpty	ConnectionClosed
35	-1	Reset	834900	Reset	Reset
35	0	TimedIO	619600	EmptyCertificate	Alert2.10ConnectionClosed
35	1	TimedIO	2400	Alert10	ConnectionClosed
36	-1	Reset	774200	Reset	Reset
36	0	TimedIO	620800	ClientKeyExchange	Alert2.10ConnectionClosed
36	1	TimedIO	1300	ClientHelloRSA	ConnectionClosed
37	-1	Reset	673500	Reset	Reset
37	0	TimedIO	554400	ClientKeyExchange	Alert2.10ConnectionClosed
37	1	TimedIO	1200	ClientHelloDHE	ConnectionClosed
38	-1	Reset	397100	Reset	Reset
38	0	TimedIO	446900	ClientKeyExchange	Alert2.10ConnectionClosed
38	1	TimedIO	1500	EmptyCertificate	ConnectionClosed
